org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
f7d32f4f-ae2e-4fa3-b1e3-15cd1e3643a2,Frederick B. Norkeh,Organization,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3499854b-06c0-43e9-9ba7-15cea2dccb18,City of St Charles,City,KY,City,NULL,2167710,City of,St Charles,NULL
e5d1af54-4042-4783-b6e5-15cebb2b78e7,City of McAlester,City,OK,City,32540,4044800,City of,McAlester,NULL
5e253f90-09a0-4280-8632-15ced1819bc7,City of Deloit,City,IA,City,NULL,1919765,City of,Deloit,NULL
b9fe54d6-ee5c-48fa-93cd-15d2ffbd78cd,Town of Paragon,City,IN,Town,NULL,1857870,Town of,Paragon,NULL
d947d969-6cd3-48b0-8309-15d63f0fd89c,City of Kirkwood,City,MO,City,NULL,2939044,City of,Kirkwood,NULL
2fc51c1a-6d6c-47c7-b209-15d9f3a328e9,Charter Township of Georgetown,City,MI,Charter Township,NULL,2613931880,NULL,NULL,NULL
a33b1aee-6017-4bec-8bcc-15da1234cff5,City of Iron Junction,City,MN,City,NULL,2731238,City of,Iron Junction,NULL
c29e8696-6b72-46e8-bd6d-15dc73ed4350,City of Breckenridge,City,MO,City,NULL,2908128,City of,Breckenridge,NULL
ef84192b-8876-44f6-a4ca-15de92a654dd,Town of Ravenel,City,SC,Town,NULL,4559020,Town of,Ravenel,NULL
61839b5e-dd16-459d-83e6-15dedf83e5e4,Village of Necedah,City,WI,Village,NULL,5555700,Village of,Necedah,NULL
36cb3775-8267-41cd-ace2-15df23b3ac2d,City of Greensboro,City,GA,City,NULL,1334876,City of,Greensboro,NULL
516c73bf-4013-4161-9bd8-15e0ac3b2efc,Village of Heartwell,City,NE,Village,NULL,3121835,Village of,Heartwell,NULL
940d251a-49ee-455b-a7a8-15e370c390c3,City of Paris,City,IL,City,NULL,1757628,City of,Paris,NULL
9f77d643-3438-4f4d-b34f-15e38e130533,City of Weston Lakes,City,TX,City,NULL,4877746,NULL,Weston Lakes,NULL
e9fe8e31-906a-4e8a-952e-15e59358c460,City of Rancho Cordova,City,CA,City,NULL,0659444,City of,Rancho Cordova,NULL
793a51ed-363e-4fe7-922e-15e82268d144,The Cannon,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
865d10ba-4bc4-405a-b0cc-15eebd0a9a37,Town of Middlefield,City,MA,Town,NULL,2501540990,Town of,Middlefield,NULL
0bfb2902-9206-4183-a56d-15f04e8b41bb,Village of Westhampton Beach,City,NY,Village,NULL,3680181,Village of,Westhampton Beach,NULL
